worker_type,period,hours_used,hours_available,utilization
General,1,183.71666666666667,230.0,0.798768115942029
General,2,177.01666666666668,230.0,0.7696376811594203
General,3,183.29166666666669,230.0,0.7969202898550726
General,4,192.10000000000002,230.0,0.8352173913043479
General,5,198.99166666666667,230.0,0.8651811594202898
General,6,199.43333333333334,230.0,0.8671014492753624
General,7,200.875,230.0,0.8733695652173913
General,8,210.64166666666665,230.0,0.9158333333333333
Skilled,1,62.5,165.0,0.3787878787878788
Skilled,2,56.0,165.0,0.3393939393939394
Skilled,3,56.5,165.0,0.3424242424242424
Skilled,4,70.0,165.0,0.42424242424242425
Skilled,5,64.5,165.0,0.39090909090909093
Skilled,6,66.0,99.0,0.6666666666666666
Skilled,7,68.0,165.0,0.4121212121212121
Skilled,8,68.5,165.0,0.41515151515151516
